"Source:","F:\LOGSUN SYSTEM\ESP32-DVK BOARD\ESP32 DVK SCH\ESP_DVK_NEW_2_NOV\ESP_DVK_NEW_1_NOV\ESP_DVK_NEW\Esp_DVK\Esp_DVK.kicad_sch"
"Date:","11-Nov-23 1:13:51 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","268"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"47","4","R2, R3, R5, R7","1K","Esp_DVK-eagle-import:R-EU_M1206","Esp_DVK:M1206","",""
"48","3","R6, R24, R29","330R","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"49","6","R8, R17, R78, R79, R82, R83","2.2K","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"50","5","R9, R25, R26, R27, R28","10K","Esp_DVK-eagle-import:R-US_R1206","Esp_DVK:R1206@1","",""
"51","4","R10, R15, R16, R33","1.2K","Esp_DVK-eagle-import:R-US_R1206","Esp_DVK:R1206@1","",""
"52","5","R11, R12, R13, R14, R32","10K","Esp_DVK-eagle-import:R-EU_R1206","Esp_DVK:R1206","",""
"53","3","R18, R81, R91","10K","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"54","1","R20","10k","Esp_DVK-eagle-import:R-US_R1206","Esp_DVK:R1206@1","",""
"55","1","R21","10K","Esp_DVK-eagle-import:TRIM_EU-RJ9W","Esp_DVK:RJ9W","",""
"56","1","R22","10k","Esp_DVK-eagle-import:TRIM_US-RJ9W","Esp_DVK:RJ9W","",""
"57","2","R23, R73","150E","Esp_DVK-eagle-import:rcl_R-US_R1206","Esp_DVK:R1206","",""
"58","17","R30, R31, R41, R42, R43, R44, R45, R46, R47, R48, R56, R57, R58, R59, R60, R61, R84","330E","Esp_DVK-eagle-import:R-EU_R1206","Esp_DVK:R1206","",""
"59","3","R37, R38, R74","1K","Esp_DVK-eagle-import:R-US_R1206","Esp_DVK:R1206@1","",""
"60","1","R40","470K","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"61","2","R53, R54","20k","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"62","1","R55","220R","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"63","9","R62, R63, R64, R65, R66, R67, R68, R69, R76","1K","Esp_DVK-eagle-import:R-EU_R1206","Esp_DVK:R1206","",""
"64","1","R72","10k","Esp_DVK-eagle-import:rcl_R-US_R1206","Esp_DVK:R1206","",""
"65","1","R75","NA","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"66","1","R80","10R","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"67","2","R85, R86","0E","Esp_DVK-eagle-import:R-EU_R1206","Esp_DVK:R1206","",""
"68","3","R94, R95, R96","10k","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"69","1","R97","120E(NA)","Esp_DVK-eagle-import:rcl_R-EU_R1206","Esp_DVK:R1206","",""
"70","1","RESET0","10-XX","Esp_DVK-eagle-import:10-XX","Esp_DVK:B3F-10XX","",""
"71","1","RGB1","5MMRGBLED","Esp_DVK-eagle-import:5MMRGBLED","Esp_DVK:LED5MMRGB","",""
"72","2","RL1, RL4","S05P","Esp_DVK-eagle-import:S05P","Esp_DVK:S05P","",""
"73","1","RL3","2 PIN RELIMATE","Esp_DVK-eagle-import:S02P","Esp_DVK:S02P","",""
"74","2","RX0, TX0","GREEN LED","Esp_DVK-eagle-import:LEDCHIPLED_1206","Esp_DVK:CHIPLED_1206","",""
"75","1","S2","SW","Esp_DVK-eagle-import:SW","Esp_DVK:SLIDE","",""
"76","16","S4, S5, S6.0, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19","TACT SWITCH","Esp_DVK-eagle-import:10-XX","Esp_DVK:B3F-10XX","",""
"77","5","S22, S23, S24, S25, S26","TACT SW","Esp_DVK-eagle-import:10-XX","Esp_DVK:B3F-10XX","",""
"78","4","T1, T2, T3, T4","BC547","Esp_DVK-eagle-import:-NPN-TO92","Esp_DVK:TO92","",""
"79","3","T5, T8, T9","BC558","Esp_DVK-eagle-import:-PNP-SOT23-EBC","Esp_DVK:SOT23-EBC","",""
"80","7","U1, U2, U3, U4, U8, U9, U11","LD117A?S","Esp_DVK-eagle-import:LD117A?S","Esp_DVK:SOT223","",""
"81","1","U5","L293D","Esp_DVK-eagle-import:L293DS","Esp_DVK:SOCKET-16","",""
"82","1","U6","BC547","Esp_DVK-eagle-import:BC547","Esp_DVK:TO92","",""
"83","1","U$3","FT232","Esp_DVK-eagle-import:FT232","Esp_DVK:FT232","",""
"84","1","U$4","ESP32","Esp_DVK-eagle-import:ESP32","Esp_DVK:ESP32","",""
"85","1","X1","32.786Khz","Esp_DVK-eagle-import:CRYSTALTC38H","Esp_DVK:TC38H","",""
"86","2","X2, X4","AK300/3","Esp_DVK-eagle-import:AK300/3","Esp_DVK:AK300_3","",""
"87","1","X5","SDCARD-TF07","Esp_DVK-eagle-import:SDCARD-TF07","Esp_DVK:SDCARD","",""
"88","1","X10","AK300/3","Esp_DVK-eagle-import:con-ptRr500_AK300/3","Esp_DVK:AK300_3","",""
